slice,signed_contrast,n,p_right_mouse,p_right_model,model,condition
block_0.5,0.0625,44,0.5681818181818182,0.49030311134728516,bayes,full_information
block_0.5,0.125,37,0.7567567567567568,0.47746846885294525,bayes,full_information
block_0.5,0.25,29,0.8620689655172413,0.5766647118946602,bayes,full_information
block_0.5,1.0,29,1.0,0.5757918933342243,bayes,full_information
block_0.8,-1.0,249,0.0642570281124498,0.3685889550480977,bayes,full_information
block_0.8,-0.25,271,0.1070110701107011,0.3647780685627153,bayes,full_information
block_0.8,-0.125,295,0.13220338983050847,0.29338880949101204,bayes,full_information
block_0.8,-0.0625,239,0.2175732217573222,0.29215512340537675,bayes,full_information
block_0.8,0.0,320,0.275,0.3262530135456473,bayes,full_information
block_0.8,0.0625,72,0.4305555555555556,0.45225460620390046,bayes,full_information
block_0.8,0.125,70,0.5142857142857142,0.46166394778660363,bayes,full_information
block_0.8,0.25,65,0.676923076923077,0.5293202303923094,bayes,full_information
block_0.8,1.0,70,0.8285714285714286,0.5223285734653473,bayes,full_information
all,-1.0,47,0.02127659574468085,0.3975342442380621,standard,fixed_prior
all,-0.25,22,0.22727272727272727,0.4333938363600861,standard,fixed_prior
all,-0.125,41,0.2926829268292683,0.22357564855639528,standard,fixed_prior
all,-0.0625,30,0.4666666666666667,0.273375220845143,standard,fixed_prior
all,0.0,70,0.5285714285714286,0.3294558709221227,standard,fixed_prior
all,0.0625,44,0.5681818181818182,0.457138629630208,standard,fixed_prior
all,0.125,37,0.7567567567567568,0.43816155698653814,standard,fixed_prior
all,0.25,29,0.8620689655172413,0.7141647089658112,standard,fixed_prior
all,1.0,29,1.0,0.7226222136925007,standard,fixed_prior
block_0.5,-1.0,47,0.02127659574468085,0.3975342442380621,standard,fixed_prior
block_0.5,-0.25,22,0.22727272727272727,0.4333938363600861,standard,fixed_prior
block_0.5,-0.125,41,0.2926829268292683,0.22357564855639528,standard,fixed_prior
block_0.5,-0.0625,30,0.4666666666666667,0.273375220845143,standard,fixed_prior
block_0.5,0.0,70,0.5285714285714286,0.3294558709221227,standard,fixed_prior
block_0.5,0.0625,44,0.5681818181818182,0.457138629630208,standard,fixed_prior
block_0.5,0.125,37,0.7567567567567568,0.43816155698653814,standard,fixed_prior
block_0.5,0.25,29,0.8620689655172413,0.7141647089658112,standard,fixed_prior
block_0.5,1.0,29,1.0,0.7226222136925007,standard,fixed_prior
all,-1.0,47,0.02127659574468085,0.27800098996847233,pc,fixed_prior
all,-0.25,22,0.22727272727272727,0.32303528961810196,pc,fixed_prior
all,-0.125,41,0.2926829268292683,0.18625671398348925,pc,fixed_prior
all,-0.0625,30,0.4666666666666667,0.19774876659115156,pc,fixed_prior
all,0.0,70,0.5285714285714286,0.33211170307227544,pc,fixed_prior
all,0.0625,44,0.5681818181818182,0.4846621375869621,pc,fixed_prior
all,0.125,37,0.7567567567567568,0.4620451220386737,pc,fixed_prior
all,0.25,29,0.8620689655172413,0.7366047701958952,pc,fixed_prior
all,1.0,29,1.0,0.7699803884687095,pc,fixed_prior
block_0.5,-1.0,47,0.02127659574468085,0.27800098996847233,pc,fixed_prior
block_0.5,-0.25,22,0.22727272727272727,0.32303528961810196,pc,fixed_prior
block_0.5,-0.125,41,0.2926829268292683,0.18625671398348925,pc,fixed_prior
block_0.5,-0.0625,30,0.4666666666666667,0.19774876659115156,pc,fixed_prior
block_0.5,0.0,70,0.5285714285714286,0.33211170307227544,pc,fixed_prior
block_0.5,0.0625,44,0.5681818181818182,0.4846621375869621,pc,fixed_prior
block_0.5,0.125,37,0.7567567567567568,0.4620451220386737,pc,fixed_prior
block_0.5,0.25,29,0.8620689655172413,0.7366047701958952,pc,fixed_prior
block_0.5,1.0,29,1.0,0.7699803884687095,pc,fixed_prior
all,-1.0,47,0.02127659574468085,0.5423926514513949,bayes,fixed_prior
all,-0.25,22,0.22727272727272727,0.539448314092376,bayes,fixed_prior
all,-0.125,41,0.2926829268292683,0.431002767347708,bayes,fixed_prior
all,-0.0625,30,0.4666666666666667,0.46141248047351835,bayes,fixed_prior
all,-0.0,70,0.5285714285714286,0.4980821575437273,bayes,fixed_prior
all,0.0625,44,0.5681818181818182,0.5387171107259664,bayes,fixed_prior
all,0.125,37,0.7567567567567568,0.5477070768137235,bayes,fixed_prior
all,0.25,29,0.8620689655172413,0.6295719187835167,bayes,fixed_prior
all,1.0,29,1.0,0.6408389313467617,bayes,fixed_prior
block_0.5,-1.0,47,0.02127659574468085,0.5423926514513949,bayes,fixed_prior
block_0.5,-0.25,22,0.22727272727272727,0.539448314092376,bayes,fixed_prior
block_0.5,-0.125,41,0.2926829268292683,0.431002767347708,bayes,fixed_prior
block_0.5,-0.0625,30,0.4666666666666667,0.46141248047351835,bayes,fixed_prior
block_0.5,-0.0,70,0.5285714285714286,0.4980821575437273,bayes,fixed_prior
block_0.5,0.0625,44,0.5681818181818182,0.5387171107259664,bayes,fixed_prior
block_0.5,0.125,37,0.7567567567567568,0.5477070768137235,bayes,fixed_prior
block_0.5,0.25,29,0.8620689655172413,0.6295719187835167,bayes,fixed_prior
block_0.5,1.0,29,1.0,0.6408389313467617,bayes,fixed_prior
