region,offset,balanced_accuracy,sem,n_sessions,n_switches
ACAd,13,0.5684027777777778,0.0229974114133083,4,54
ACAd,14,0.6184027777777777,0.0637327784018873,4,54
ACAd,15,0.5820436507936508,0.054071260060161115,4,54
ACAd,16,0.5454365079365079,0.046120070401095066,4,54
ACAd,17,0.4404265873015873,0.0819434948624311,4,54
ACAd,18,0.7037698412698412,0.09150821829483452,4,54
ACAd,19,0.5615575396825396,0.06764645098595268,4,54
ACAd,20,0.4502480158730159,0.1102979513187887,4,54
MOp,-10,0.5125,0.06497862896539308,5,57
MOp,-9,0.586111111111111,0.06241042964437163,5,57
MOp,-8,0.5763888888888888,0.06591005843169262,5,57
MOp,-7,0.6347222222222222,0.07284983709955771,5,57
MOp,-6,0.5694444444444444,0.07432826755699806,5,57
MOp,-5,0.5208333333333334,0.04859126579037751,5,57
MOp,-4,0.4930555555555555,0.08561686115234687,5,57
MOp,-3,0.5791666666666668,0.06831300510639733,5,57
MOp,-2,0.4958333333333334,0.07369230323144715,5,57
MOp,-1,0.42638888888888893,0.03478327964999673,5,57
MOp,0,0.4444444444444445,0.03747427100897788,5,57
MOp,1,0.5597222222222223,0.05120462459824224,5,57
MOp,2,0.4763888888888889,0.02270312971300284,5,57
MOp,3,0.4902777777777777,0.0644180980627703,5,57
MOp,4,0.39722222222222225,0.06580461164371573,5,57
MOp,5,0.6166666666666666,0.03979112128771107,5,57
MOp,6,0.5055555555555555,0.08620962107231478,5,57
MOp,7,0.6305555555555555,0.057948465824023555,5,57
MOp,8,0.49444444444444435,0.04489356411297093,5,57
MOp,9,0.6069444444444445,0.05595688375442446,5,57
MOp,10,0.6236111111111111,0.039984564923214616,5,57
MOp,11,0.6180555555555556,0.050841681160342,5,57
MOp,12,0.6319444444444444,0.06340395672507404,5,57
MOp,13,0.7194444444444444,0.055749660908009334,5,57
MOp,14,0.7319444444444445,0.052543338960669435,5,57
MOp,15,0.6916666666666667,0.04013864859597432,5,57
MOp,16,0.47916666666666663,0.053359368645273735,5,57
MOp,17,0.5847222222222223,0.07360849051939056,5,57
MOp,18,0.538888888888889,0.10477783669139382,5,57
MOp,19,0.5847222222222221,0.06292754995397387,5,57
MOp,20,0.65,0.02527625148017183,5,57
